=== PIPELINE DEPTH: 1 ===
2         Threads
20        Connections per thread
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        68832.35          ---          ---         0.52234         0.41500         1.95100         6.97500      5309.92 
Gets         7648.04        11.47      7636.57         0.51893         0.41500         1.87100         6.75100       299.08 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      76480.39        11.47      7636.57         0.52200         0.41500         1.93500         6.97500      5609.01 


Request Latency Distribution
Type     <= msec         Percent
GET       1.623       98.594
GET       1.663       98.672
GET       1.703       98.750
GET       1.735       98.828
GET       1.799       98.906
GET       1.863       98.984
GET       1.919       99.062
GET       1.999       99.141
GET       2.095       99.219
GET       2.143       99.258
GET       2.223       99.297
GET       2.271       99.336
GET       2.351       99.375
GET       2.431       99.414
GET       2.479       99.453
GET       2.543       99.492
GET       2.639       99.531
GET       2.767       99.570
GET       2.911       99.609
GET       2.975       99.629
GET       3.071       99.648
GET       3.183       99.668
GET       3.311       99.688
GET       3.407       99.707
GET       3.599       99.727
GET       3.791       99.746
GET       4.127       99.766
GET       4.287       99.785
GET       4.479       99.805
GET       4.543       99.814
GET       4.671       99.824
GET       4.799       99.834
GET       4.959       99.844
GET       5.215       99.854
GET       5.311       99.863
GET       5.471       99.873
GET       5.919       99.883
GET       6.431       99.893
GET       6.879       99.902
GET       7.039       99.907
GET       7.135       99.912
GET       7.391       99.917
GET       7.487       99.922
GET       8.063       99.927
GET       8.639       99.932
GET       8.703       99.937
GET       9.215       99.941
GET       9.471       99.946
GET       9.855       99.951
GET      10.175       99.954
GET      10.431       99.956
GET      10.815       99.958
GET      10.879       99.961
GET      11.007       99.963
GET      11.071       99.966
GET      11.135       99.968
GET      11.327       99.971
GET      11.775       99.973
GET      12.159       99.976
GET      12.863       99.977
GET      13.439       99.978
GET      13.503       99.979
GET      13.567       99.980
GET      13.567       99.982
GET      13.567       99.983
GET      13.631       99.984
GET      13.631       99.985
GET      13.759       99.987
GET      14.015       99.988
GET      14.015       99.988
GET      14.143       99.989
GET      14.143       99.990
GET      16.319       99.990
GET      16.319       99.991
GET      18.431       99.991
GET      18.431       99.992
GET      27.263       99.993
GET      27.263       99.993
GET      27.519       99.994
GET      27.519       99.994
GET      27.519       99.995
GET      27.519       99.995
GET      27.775       99.995
GET      27.775       99.995
GET      27.775       99.996
GET      27.775       99.996
GET      27.775       99.996
GET      27.775       99.997
GET      27.775       99.997
GET      27.775       99.997
GET      27.775       99.997
GET      27.775       99.997
GET      27.903       99.998
GET      27.903       99.998
GET      27.903       99.998
GET      27.903       99.998
GET      27.903       99.998
GET      27.903       99.998
GET      27.903       99.998
GET      27.903       99.999
GET      27.903       99.999
GET      27.903       99.999
GET      29.055       99.999
GET      29.055      100.000
---
WAIT      0.000      100.000




=== PIPELINE DEPTH: 10 ===
2         Threads
20        Connections per thread
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets       414205.88          ---          ---         1.03614         0.81500         4.09500         7.39100     31953.02 
Gets        46022.88        69.03     45953.84         1.03614         0.81500         4.09500         7.39100      1799.77 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     460228.76        69.03     45953.84         1.03614         0.81500         4.09500         7.39100     33752.79 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.055        0.000
SET       0.519        5.000
SET       0.551       10.000
SET       0.583       15.000
SET       0.607       20.000
SET       0.639       25.000
SET       0.671       30.000
SET       0.703       35.000
SET       0.735       40.000
SET       0.775       45.000
SET       0.815       50.000
SET       0.831       52.500
SET       0.855       55.000
SET       0.879       57.500
SET       0.903       60.000
SET       0.935       62.500
SET       0.967       65.000
SET       1.007       67.500
SET       1.055       70.000
SET       1.111       72.500
SET       1.167       75.000
SET       1.191       76.250
SET       1.223       77.500
SET       1.263       78.750
SET       1.295       80.000
SET       1.343       81.250
SET       1.391       82.500
SET       1.431       83.750
SET       1.487       85.000
SET       1.543       86.250
SET       1.607       87.500
SET       1.639       88.125
SET       1.671       88.750
SET       1.711       89.375
SET       1.751       90.000
SET       1.791       90.625
SET       1.831       91.250
SET       1.879       91.875
SET       1.935       92.500
SET       1.991       93.125
SET       2.063       93.750
SET       2.111       94.062
SET       2.143       94.375
SET       2.207       94.688
SET       2.271       95.000
SET       2.335       95.312
SET       2.399       95.625
SET       2.479       95.938
SET       2.559       96.250
SET       2.655       96.562
SET       2.783       96.875
SET       2.831       97.031
SET       2.895       97.188
SET       2.959       97.344
SET       3.023       97.500
SET       3.119       97.656
SET       3.215       97.812
SET       3.295       97.969
SET       3.391       98.125
SET       3.487       98.281
SET       3.583       98.438
SET       3.631       98.516
SET       3.711       98.594
SET       3.775       98.672
SET       3.855       98.750
SET       3.935       98.828
SET       3.983       98.906
SET       4.079       98.984
SET       4.191       99.062
SET       4.319       99.141
SET       4.447       99.219
SET       4.479       99.258
SET       4.543       99.297
SET       4.607       99.336
SET       4.671       99.375
SET       4.735       99.414
SET       4.799       99.453
SET       4.863       99.492
SET       4.959       99.531
SET       5.023       99.570
SET       5.055       99.609
SET       5.119       99.629
SET       5.151       99.648
SET       5.279       99.668
SET       5.343       99.688
SET       5.471       99.707
SET       5.567       99.727
SET       5.695       99.746
SET       5.823       99.766
SET       6.015       99.785
SET       6.239       99.805
SET       6.367       99.814
SET       6.495       99.824
SET       6.559       99.834
SET       6.623       99.844
SET       6.783       99.854
SET       6.847       99.863
SET       6.879       99.873
SET       7.071       99.883
SET       7.295       99.893
SET       7.423       99.902
SET       7.519       99.907
SET       7.583       99.912
SET       7.679       99.917
SET       7.775       99.922
SET       7.839       99.927
SET       7.935       99.932
SET       8.159       99.937
SET       8.767       99.941
SET       8.959       99.946
SET       9.343       99.951
SET       9.471       99.954
SET       9.599       99.956
SET      10.751       99.958
SET      10.879       99.961
SET      12.287       99.963
SET      12.479       99.966
SET      12.607       99.968
SET      12.735       99.971
SET      12.927       99.973
SET      14.399       99.976
SET      14.399       99.977
SET      14.463       99.978
SET      14.463       99.979
SET      14.527       99.980
SET      14.527       99.982
SET      14.527       99.983
SET      14.527       99.984
SET      14.591       99.985
SET      14.591       99.987
SET      14.655       99.988
SET      14.655       99.988
SET      14.719       99.989
SET      14.719       99.990
SET      14.719       99.990
SET      14.719       99.991
SET      14.783       99.991
SET      14.783       99.992
SET      14.847       99.993
SET      14.847       99.993
SET      14.847       99.994
SET      14.847       99.994
SET      14.847       99.995
SET      14.847       99.995
SET      14.847       99.995
SET      14.847       99.995
